18:25:16.001996 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:21.003348 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:26.000673 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:31.003634 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:35.926906 ARP, Request who-has 192.168.20.135 (Broadcast) tell 192.168.20.136, length 46
18:25:35.927361 ARP, Reply 192.168.20.135 is-at 00:0c:29:6f:d4:68 (oui Unknown), length 46
18:25:36.000568 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:36.128525 IP 192.168.20.136.38878 > 192.168.20.2.domain: 32008+ PTR? 135.20.168.192.in-addr.arpa. (45)
18:25:36.142079 IP 192.168.20.2.domain > 192.168.20.136.38878: 32008 NXDomain 0/0/0 (45)
18:25:36.143989 IP 192.168.20.136.57385 > 192.168.20.135.ssh: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144028 IP 192.168.20.136.57385 > 192.168.20.135.microsoft-ds: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144034 IP 192.168.20.136.57385 > 192.168.20.135.telnet: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144141 IP 192.168.20.136.57385 > 192.168.20.135.auth: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144150 IP 192.168.20.136.57385 > 192.168.20.135.256: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144209 IP 192.168.20.136.57385 > 192.168.20.135.http: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144291 IP 192.168.20.136.57385 > 192.168.20.135.http-alt: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144354 IP 192.168.20.136.57385 > 192.168.20.135.rtsp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144415 IP 192.168.20.136.57385 > 192.168.20.135.loc-srv: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.144592 IP 192.168.20.136.57385 > 192.168.20.135.imaps: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.145620 IP 192.168.20.135.ssh > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
